番号,Ap. 語形,Ap. アクセント,意味,脚韻開始一致率,内訳,全体,逸脱,Ved. のアクセント,,
1,aāṇa-,aā́ṇa-,無知,100.000%,9,9,0,ajñāna-,,
2,aia-,áia-,過ぎた,80.000%,4,5,1,atīta-,,
3,airāvaa-,airā́vaa-,アイラーヴァタ,60.000%,3,5,2,airāvata-,,
4,airāvaṇa-,airā́vaṇa- / airāváṇa-,アイラーヴァナ,50.000%,1,2,,airāvaṇa-,,
5,akalaṅka-,akaláṅka-,アカランカ,100.000%,4,4,0,akalaṅka-,,
6,akāara-,akā́ara-,臆病でない,100.000%,2,2,0,akātara-,,
7,akāraṇa-,akāráṇa-,原因のないこと,66.667%,2,3,1,akāraṇa-,,
8,akiattha-,akiáttha-,不本意な,100.000%,2,2,0,,,
9,akka-,ákka-,アルカ、太陽,100.000%,2,2,0,arká-,,
10,akkhaa-,ákkhaa-,アクシャタ,100.000%,3,3,0,ákṣata-,,
11,akkhara-,akkhára-,音節,100.000%,3,3,0,akṣára-,,
12,akkha-,ákkha-,語る,100.000%,2,2,0,ā́khyā-,,
13,akkhia-,ákkhia-,語られた,100.000%,7,7,0,ākhyāta-,,
14,akkhohaṇi-,akkhóhaṇi- / ákkhohaṇi-,完全な軍隊,40.000%,2,5,,akṣauhiṇī-,,
15,agga-,ágga-,先端,100.000%,2,2,0,ágra-,,
16,aṅkusa-,áṅkusa-,鉤,66.667%,2,3,1,aṅkuśa-,,
17,aṅgaa-,áṅgaa-,アンガダ,66.667%,4,6,2,aṅgada-,,
18,aṅgaṅgaa-,aṅgáṅgaa-,アンガとアンガダ,100.000%,2,2,0,,,
19,aṅga-,áṅga-,肢体,73.333%,11,15,4,áṅga-,,
20,aṅga-,áṅga-,アンガ,66.667%,4,6,2,áṅga-,,
21,aṅgāra-,aṅgā́ra-,炭,100.000%,3,3,0,áṅgāra-,,
22,acala-,acála-,動かない、山,100.000%,4,4,0,acala-,,
23,acalenda-,acalendá-/acalénda-,山の主,50.000%,1,2,,acalendra-,,
24,accaria-,accária-,驚嘆すべき,100.000%,4,4,0,āścarya-,,
25,acchanta-,acchánta-,いつつある,75.000%,3,4,0,,,
26,accharā-,áccharā-,アプサラス,66.667%,2,3,1,apsarás-,,
27,accharia-,acchária-,驚嘆すべき,75.000%,3,4,1,āścarya-,,
28,accha-,acchá-,〜である,66.667%,4,6,0,,,
29,acchia-,ácchia-,〜であった,66.667%,4,6,1,,,
30,ajaara-,ajaára-,アジャガラ,100.000%,2,2,0,ajagará-,,
31,ajaa-,ajáa-,打ち勝てない,83.333%,5,6,1,ajaya-,,
32,ajju,ájju,今日,100.000%,20,20,0,adyá,,
33,añcia-,áñcia-,賞賛された,100.000%,7,7,0,arcita-,,
34,añjaṇa-,áñjaṇa- / añjáṇa-,アンジャナの木,50.000%,2,4,,añjana-,,
35,añjaṇea-,añjaṇéa-,アンジャナーの息子（ハヌマト）,100.000%,3,3,0,āñjaneya-,,
36,añja-,áñja- / añjá-,飾る,50.000%,1,2,,,,
37,aṭṭhamaa-,áṭṭhamaa-,八番目の,66.667%,2,3,1,aṣṭamaka-,,
38,aṇaṅgakusuma-,aṇaṅgákusuma-,カーマの花,100.000%,2,2,0,,,
39,aṇaṅgalavaṇa-,aṇaṅgalávaṇa-,アナンガの美しさ,100.000%,2,2,0,,,
40,aṇaṅgasarā-,aṇaṅgasárā-,アナンガの力,100.000%,2,2,0,,,
41,aṇaṅga-,aṇáṅga-,カーマ,100.000%,4,4,0,anaṅga-,,
42,aṇatthamia-,aṇatthamía-,日没前の,100.000%,2,2,0,,,
43,aṇantavīra-,aṇantavī́ra-,アナンタヴィールヤ,100.000%,3,3,0,anantavīrya-,,
44,aṇanta-,áṇanta-,無限の,75.000%,3,4,1,anantá-,,
45,aṇiṭṭhia-,aṇíṭṭhia-,安定しない,66.667%,2,3,1,,,
46,aṇindia-,áṇindia-,責められるべくもない,100.000%,2,2,0,anindyá-,,
47,aṇumāṇa-,aṇumā́ṇa-,占い,100.000%,3,3,0,anumāna-,,
48,aṇuratta-,áṇuratta- / aṇurátta- / aṇurattá-,愛着ある,33.333%,2,6,,anurakta-,,
49,aṇurāa-,aṇurā́a-,愛着,85.714%,6,7,1,anurāga-,,
50,aṇurāia-,aṇurā́ia-,愛された,100.000%,4,4,0,anurāgita-,,
51,aṇulagga-,aṇulágga-,付随した,100.000%,2,2,0,anulagna-,,
52,aṇusarisa-,aṇusárisa-,同じような,100.000%,2,2,0,,,
53,aṇuharanta-,aṇuharánta-,似つつある,100.000%,3,3,0,,,
54,aṇuharamāṇa-,aṇuharamā́ṇa-,似ている,83.333%,5,6,0,anuharamāṇa-,,
55,aṇuhara-,aṇuhára-,似ている,100.000%,4,4,0,anuhara-,,
56,aṇuhuñja-,aṇuhúñja-,享受する,100.000%,3,3,0,anubhuja-,,
57,aṇuhūa-,aṇuhūá-,知覚された,100.000%,2,2,0,anubhūta-,,
58,aṇea-,aṇéa-,複数の,100.000%,2,2,0,aneka-,,
59,aṇṇa-,áṇṇa-,アンナ,83.333%,5,6,1,anna-,,
60,aṇṇa-,áṇṇa-,他の,91.667%,33,36,3,anyá-,,
61,aṇṇāṇa-,aṇṇā́ṇa-,知識のないこと,100.000%,2,2,0,ajñāna-,,
62,aṇṇekka-,aṇṇékka-,他人,100.000%,7,7,0,anyaika-,,
63,attāvaṇa-,attā́vaṇa- / attāváṇa-,暑い時期,50.000%,1,2,,,,
64,atthakkai,atthákkai / atthakkái,即刻,50.000%,1,2,,,,
65,atthantaa-,atthantáa-,死んだ,75.000%,3,4,0,,,
66,atthamia-,atthámia-,消えた,80.000%,4,5,0,ástamita-,,
67,atthavaṇa-,atthaváṇa-,日没,75.000%,3,4,0,astamana,,
68,attha-,áttha-,矢,100.000%,2,2,0,astrá-,,
69,attha-,áttha-,富、目的、実利,83.333%,5,6,1,ártha-,,
70,atthi,átthi,〜である,100.000%,2,2,0,ásti,,
71,addha-,áddha- / addhá-,半分,100.000%,2,2,0,árdha-,,
72,addhummilla-,addhummílla-,半発達の,100.000%,3,3,0,ardhonmīlita-,,
73,antara-,antára-,内側,100.000%,4,4,0,ántara-,,
74,antarāla-,antarā́la-,内側,100.000%,4,4,0,antarāla-,,
75,anteura-,antéura-,後宮,75.000%,9,12,0,antaḥpura-,,
76,andhaa-,andháa-,アンダカ,100.000%,3,3,0,andhaka-,,
77,andhāria-,andhā́ria-,暗くされた,100.000%,2,2,0,andhakārita-,,
78,apamāṇa-,apamā́ṇa-,無制限の,100.000%,2,2,0,apramāṇa-,,
79,aparajjia-,aparájjia-,打ち負かされない,100.000%,2,2,0,áparājita-,,
80,aparāaṇa-,aparā́aṇa-,打ち負かされない,100.000%,2,2,0,,,
81,aparāia-,aparā́ia-,打ち負かされない,100.000%,2,2,0,áparājita-,,
82,appaṇa-,appaṇa-,自己,61.111%,11,18,2,ātmán-,,
83,appaṇia-,appáṇia-,自己の,100.000%,2,2,0,ātmanya-,,
84,appamāṇa-,appámāṇa- / appamā́ṇa-,欺瞞の,50.000%,2,4,,apramāṇa-,,
85,appa-,áppa-,至らせる,100.000%,2,2,0,arpaya-,,
86,appa-,áppa-,自己,100.000%,5,5,0,ātmán-,,
87,appāṇa-,appā́ṇa-,自己,100.000%,5,5,0,ātmán-,,
88,appia-,áppia-,至らされた,100.000%,2,2,0,árpita-,,
89,apphāla-,apphā́la-,手で打つ,66.667%,2,3,1,āsphālaya-,,
90,apphālia-,apphā́lia-,叩かれた,88.889%,8,9,1,āsphālita-,,
91,apphālivi,apphā́livi,手で打ってから,100.000%,2,2,0,,,
92,abbhantara-,abbhantára-/abbhántara-,中の,50.000%,2,4,,abhyantara-,,
93,abbhiṭṭa-,abbhiṭṭá-,行き合わせる、衝突する,100.000%,3,3,0,,,
94,abbhiṭṭa-,abbhiṭṭá-,行き合わせた、衝突した,100.000%,5,5,0,,,
95,abbhiḍa-,abbhiḍá-,会う,100.000%,2,2,0,,,
96,abbhiḍia-,abbhiḍía-,会った,100.000%,6,6,0,,,
97,abhaa-,abháa-,恐れのない,100.000%,2,2,0,ábhaya-,,
98,abhaṅga-,abháṅga-,壊れない,100.000%,7,7,0,*abhaṅga-,,
99,amaṅgala-,amaṅgála-,不吉祥な,100.000%,3,3,0,amaṅgala-,,
100,amara-,amára-,不死者,80.000%,4,5,0,amára-,,
101,amarinda-,amárinda- / amarínda- / amarindá-,至高の不死者,33.333%,1,3,,,,
102,amarisa-,amarísa- / amarisá-,情熱,50.000%,1,2,0,amarṣa-,,
103,amiaga-,amiagá-,甘露,100.000%,2,2,0,,,
104,amvara-,amvára-,衣服,66.667%,2,3,0,ámbara-,,
105,amvuhara-,amvuhára-,雲,100.000%,2,2,0,ambudhara-,,
106,amhārisa-,amhā́risa-,我々のような,75.000%,3,4,1,asmādṛśa-,,
107,arahanta-,arahánta-,阿羅漢,66.667%,2,3,0,árhat-,,
108,ari-,ári-,敵,100.000%,4,4,0,arí-,,
109,aruṇa-,áruṇa-,蓮,100.000%,2,2,0,,,
110,alakkhaṇa-,alakkháṇa-,吉兆のない,100.000%,3,3,0,alakṣaṇá-,,
111,alaṅgha-,aláṅgha-,打ち勝ち難い,100.000%,5,5,0,alaṅghya-,,
112,alajjia-,alájjia-,恥じらわない,100.000%,4,4,0,*alajjita-,,
113,alahanta-,alahánta-,得ていない,60.000%,3,5,1,,,
114,alahantia-,alahántia-,得ていない,100.000%,2,2,0,,,
115,alia-,ália-,虚偽,100.000%,2,2,0,álīka-,,
116,allīṇa-,allīṇá-,住んでいる,66.667%,2,3,1,ālīna-,,
117,avaajjia-,avaájjia-,分けられた？,100.000%,3,3,0,,,
118,avaaria-,avaária-,降り立った,83.333%,5,6,1,,,
119,avagaṇṇivi,avagáṇṇivi,軽蔑して,100.000%,2,2,0,,,
120,avamāṇia-,avamā́ṇia-,軽蔑された,100.000%,4,4,0,avamānita-,,
121,avara-,ávara-,後の,80.000%,4,5,1,ápara-,,
122,avaruṇḍaṇa-,avaruṇḍáṇa-,抱擁,100.000%,3,3,0,avaruṇḍaṇa-,,
123,avaleva-,avaléva-,誇り,100.000%,4,4,0,avalepa-,,
124,avaloaṇa-,avalóaṇa- / avaloáṇa-,見ること,50.000%,1,2,,avalokana-,,
125,avaloa-,avalóa- / avaloá-,見る,50.000%,1,2,,avalokaya-,,
126,avaloia-,avalóia-,見られた,100.000%,2,2,0,avalokita-,,
127,avaloivi,avalóivi,見てから,100.000%,3,3,0,,,
128,avasara-,avasára-,時期,100.000%,11,11,0,avasara-,,
129,avaharia-,avahária-,運び下された,100.000%,2,2,0,,,
130,aviāra-,aviā́ra-,ためらいないこと,100.000%,3,3,0,avicāra-,,
131,aviola-,avióla-,落ち着かない,100.000%,2,2,0,avikula-,,
132,avicala-,avicála-,不動の,100.000%,4,4,0,avicala-,,
133,avaiṇṇa-,avaiṇṇá-,降誕した,60.000%,3,5,0,avatīrṇa-,,
134,asakka-,asákka-,不可能な,100.000%,2,2,0,aśakta-,,
135,asajjha-,asájjha-,成就され得ない,100.000%,3,3,0,asādhya-,,
136,asaṇivea-,asaṇivéa-,アシャニヴェーガ,100.000%,2,2,0,,,
137,asanta-,asánta- / asantá-,悪意に満ちた,50.000%,1,2,,,,
138,asāra-,asā́ra-,精髄のない,100.000%,3,3,0,asāra-,,
139,asivara-,asivára-,最上の剣,100.000%,5,5,0,*asivara-,,
140,asi-,ási-,剣,100.000%,2,2,0,así-,,
141,asundara-,asundára-,よくない,85.714%,6,7,0,asundara-,,
142,asuhāvaṇa-,asuhā́vaṇa-,美しくない,50.000%,2,4,2,aśobhana-,,
143,asesa-,asésa-,全ての,78.947%,15,19,3,aśeṣa-,,
144,ahaminda-,ahamínda-,アハミンドラ,100.000%,2,2,0,ahamindra-,,
145,ahia-,áhia-,さらなる、非常に大きい,100.000%,3,3,0,adhika-,,
146,ahiṭṭhia-,ahiṭṭhía-,定住した,66.667%,2,3,0,adhiṣṭhita-,,
147,ahiṇanda-,ahiṇánda-,喜ぶ,100.000%,2,2,0,abhinanda-,,
148,ahiṇava-,ahiṇavá-,とても若い,66.667%,2,3,0,abhinava-,,
149,ahiṇāṇa-,ahiṇā́ṇa-,類似,100.000%,4,4,0,abhijñāna-,,
150,ahimāṇa-,ahimā́ṇa-,傲慢,100.000%,2,2,0,abhimāna-,,
151,ahimuha-,ahimúha-,対面した,60.000%,3,5,0,abhimukha-,,
152,ahilasa-,ahilása-,求める,66.667%,2,3,1,,,
153,ahisitta-,ahisítta- / ahisittá-,灌頂された,50.000%,1,2,,abhiṣikta-,,
154,āaṇṇivi,āáṇṇivi,聞いてから,100.000%,3,3,0,,,
155,āaria-,āária-,師,100.000%,3,3,0,ācāryà-,,
156,āavatta-,āavátta-,影,100.000%,2,2,0,,,
157,āahu,ā́ahu,この者の,100.000%,4,4,0,,,
158,āa-,ā́a-,来た,100.000%,46,46,0,ā́gata-,,
159,āāma-,āā́ma-,力,66.667%,2,3,1,,,
160,āāmia-,āā́mia-,長くされた,100.000%,4,4,0,,,
161,āia-,ā́ia-,来た,100.000%,20,20,0,ā́gata-,,
162,āesa-,āésa- / āesá-,命令,50.000%,1,2,,ādeśa-,,
163,ākarisia-,ākárisia-,近寄らされた,100.000%,2,2,0,ākarṣita-,,
164,ākhaṇḍala-,ākháṇḍala-,破壊者（インドラ）,100.000%,6,6,0,ākhaṇḍala-,,
165,āgamaṇa-,āgamáṇa-,来ること,100.000%,2,2,0,āgamana-,,
166,āṇanda-,āṇandá-,喜び,85.714%,6,7,0,ānandá-,,
167,āṇavaḍiccha-,āṇavaḍíccha-,従順な,75.000%,3,4,1,,,
168,āṇa-,ā́ṇa-,連れてくる,100.000%,4,4,0,ā́naya-,,
169,āṇia-,ā́ṇia-,連れてこられた,100.000%,5,5,0,ānīta-,,
170,ādaṇṇa-,ādáṇṇa-,不安な,100.000%,2,2,0,,,
171,āmellia-,āmellía-,捨てられた,100.000%,2,2,0,,,
172,āmellivi,āméllivi,捨ててから,100.000%,2,2,0,,,
173,ārāha-,ārā́ha-,崇拝する,100.000%,2,2,0,ārādhaya-,,
174,ārisa-,ā́risa-,このような,100.000%,3,3,0,īdṛ́śa-,,
175,āruṭṭha-,ārúṭṭha-,怒らされた,100.000%,6,6,0,,,
176,ālagga-,ālágga-,くっつけられた,100.000%,4,4,0,ālagna-,,
177,ālāva-,ālā́va-,会話,100.000%,4,4,0,ālāpa-,,
178,āliṅgaṇa-,ālíṅgaṇa- / āliṅgáṇa-,抱擁,50.000%,1,2,,āliṅgana-,,
179,āliṅgia-,āliṅgía-,抱擁された,100.000%,2,2,0,āliṅgita-,,
180,āliṅgeppiṇu,āliṅgéppiṇu,抱擁してから,100.000%,2,2,0,,,
181,āvaṭṭia-,āváṭṭia-,回された,100.000%,2,2,0,āvartita-,,
182,āvaṇa,ā́vaṇa,店,50.000%,1,2,1,āpaṇa-,,
183,āva-,ā́va-,来る,100.000%,6,6,0,,,
184,āvāsa-,āvā́sa-,すみか,100.000%,2,2,0,āvāsa-,,
185,āvāsia-,āvā́sia-,居住した,83.333%,5,6,1,āvāsita-,,
186,āvīlia-,āvī́lia-,痛めつけられた,100.000%,2,2,0,,,
187,āsaṅka-,āsaṅká-,疑う,66.667%,2,3,0,āśaṅka-,,
188,āsaṅkia-,āsáṅkia-,疑われた,66.667%,2,3,1,āśaṅkita-,,
189,āsaṅgha-,āsáṅgha-,会う,66.667%,2,3,1,,,
190,āsaṅghia-,āsáṅghia-,会った,100.000%,3,3,0,,,
191,āsaṇa-,āsáṇa-,座,100.000%,3,3,0,ā́sana-,,
192,āsāsia-,āsā́sia-,慰められた,66.667%,2,3,1,āśvāsita-,,
193,āsi,ā́si,であった,100.000%,2,2,0,ā́sīt,,
194,āhaaṇa-,āhaáṇa-,戦い,66.667%,2,3,0,,,
195,āhaa-,ā́haa- / āháa-,打たれた,40.000%,2,5,,ā́hata-,,
196,āhaṇa-,āháṇa-,攻撃する,66.667%,2,3,0,,,
197,āhaṇḍala-,āháṇḍala-,破壊者（インドラ）,100.000%,2,2,0,ākhaṇḍala-,,
198,āhava-,ā́hava-,戦い,100.000%,4,4,0,āhavá-,,
199,āhāra-,āhā́ra-,食事,100.000%,2,2,0,āhāra-,,
200,iara-,iára- / iará-,他の,50.000%,1,2,,ítara-,,
201,iccha-,íccha-,望む,57.143%,4,7,3,icchá-,,
202,icchā-,icchā́-,望み,66.667%,2,3,0,icchā-,,
203,icchia-,ícchia-,求められた,66.667%,2,3,1,,,
204,icchesa-,icchésa-,求めるであろう,100.000%,2,2,0,,,
205,indattaṇa-,indáttaṇa-,支配権,100.000%,2,2,0,,,
206,inda-,índa-,主,60.000%,6,10,4,índra-,,
207,indāiṇi-,indā́iṇi- / indāiṇí-,インドラの女,50.000%,1,2,,indrāṇī́-,,
208,indāuha-,indāúha-,虹,100.000%,2,2,0,indrāyudha-,,
209,indāesa-,indāésa-,主の代わり,100.000%,2,2,0,,,
210,indindira-,indindíra-,大蜂,100.000%,2,2,0,indindirā-,,
211,indīvara-,indīvára-,蓮,100.000%,4,4,0,,,
212,ila-,íla-,大地,100.000%,3,3,0,ilā-,,
213,iva,íva,〜の如くに,92.308%,24,26,2,iva,,
214,īha-,ī́ha-,見る,100.000%,2,2,0,ī́kṣa-,,
215,uia-,úia-,上がった,66.667%,2,3,1,údita-,,
216,ukkhala-,ukkhála-,すり鉢,100.000%,2,2,0,udūkhala-,,
217,uggaa-,uggáa-,生じた,100.000%,2,2,0,udgata-,,
218,uggamia-,uggámia-,出てこさせられた、生じた,66.667%,2,3,1,udgamita-,,
219,ugga-,úgga-,力強い,100.000%,2,2,0,ugrá-,,
220,uggilia-,uggília-,語られた,100.000%,2,2,0,,,
221,uccalia-,uccália- / uccalía-,外に出た,50.000%,1,2,,uccalita-,,
222,uccāia-,uccā́ia-,上げられた,66.667%,2,3,1,,,
223,uccāria-,uccā́ria-,話された,100.000%,2,2,0,uccārita-,,
224,uccāreppiṇu,uccāréppiṇu,話してから,100.000%,2,2,0,,,
225,ucchaṇṇa-,uccháṇṇa-,滅びた,100.000%,2,2,0,utsanna-,,
226,ucchiṇṇa-,ucchíṇṇa-,根絶やしにされた,100.000%,2,2,0,ucchinna-,,
227,ucchuraa-,ucchuráa-,イクシュラヴァ,100.000%,2,2,0,ikṣurava-,,
228,ujjala-,ujjála-,純粋な,100.000%,4,4,0,ujjvala-,,
229,ujjāṇa-,ujjā́ṇa-,遊園,100.000%,7,7,0,udyā́na-,,
230,ujjālia-,ujjā́lia-,輝いている,100.000%,2,2,0,ujjvalita-,,
231,uṭṭhaddha-,uṭṭháddha-,完璧な,100.000%,4,4,0,,,
232,uṭṭhava-,uṭṭháva-,立たせる,100.000%,2,2,0,utthāpaya-,,
233,uṭṭhia-,uṭṭhía-,立っている,100.000%,2,2,0,utthita-,,
234,uḍḍanta-,uḍḍánta-,飛びつつある,100.000%,2,2,0,,,
235,uṇhāla-,uṇhā́la-,熱で苦しむ,100.000%,3,3,0,uṣṇālu-,,
236,uttamaṅga-,uttamáṅga-,頭,100.000%,2,2,0,uttamāṅga-,,
237,uttara-,uttará-,より上の、北の,66.667%,2,3,0,úttara-,,
238,uttharanta-,uttharánta-,戦いつつある,60.000%,3,5,1,,,
239,utthara-,utthára-,戦う,60.000%,3,5,2,,,
240,uttharia-,utthária-,戦われた,100.000%,2,2,0,,,
241,uttharivi,utthárivi,戦ってから,100.000%,2,2,0,,,
242,utthallia-,utthállia-,上に挙げられた,100.000%,4,4,0,ucchallita-,,
